Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,1.000,1.000,1.0,4,44
Breast-AdenoCA,1,1.000,1.000,1.0,20,198
CNS-GBM,2,1.000,1.000,1.0,4,41
CNS-Medullo,3,0.882,1.000,0.938,15,146
CNS-PiloAstro,4,1.000,0.889,0.941,9,89
ColoRect-AdenoCA,5,1.000,1.000,1.0,5,60
Eso-AdenoCA,6,0.909,1.000,0.952,10,98
Head-SCC,7,1.000,1.000,1.0,6,57
Kidney-ChRCC,8,1.000,0.800,0.889,5,45
Kidney-RCC,9,1.000,1.000,1.0,14,144
Liver-HCC,10,1.000,1.000,1.0,31,326
Lung-AdenoCA,11,1.000,0.750,0.857,4,38
Lung-SCC,12,0.833,1.000,0.909,5,48
Lymph-BNHL,13,0.846,1.000,0.917,11,105
Lymph-CLL,14,0.875,0.778,0.824,9,95
Myeloid-MPN,15,1.000,0.800,0.889,5,55
Ovary-AdenoCA,16,1.000,0.909,0.952,11,113
Panc-AdenoCA,17,1.000,1.000,1.0,23,241
Panc-Endocrine,18,0.800,0.889,0.842,9,85
Prost-AdenoCA,19,1.000,1.000,1.0,19,286
Skin-Melanoma,20,1.000,1.000,1.0,11,107
Stomach-AdenoCA,21,1.000,0.857,0.923,7,75
Thy-AdenoCA,22,0.800,0.800,0.8,5,48
Uterus-AdenoCA,23,0.750,0.750,0.75,4,51
