Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,1.000,1.000,1.0,4,44
Breast-AdenoCA,1,0.952,1.000,0.976,20,198
CNS-GBM,2,1.000,0.750,0.857,4,41
CNS-Medullo,3,0.938,1.000,0.968,15,146
CNS-PiloAstro,4,0.889,0.889,0.889,9,89
ColoRect-AdenoCA,5,1.000,1.000,1.0,5,60
Eso-AdenoCA,6,0.818,0.900,0.857,10,98
Head-SCC,7,0.857,1.000,0.923,6,57
Kidney-ChRCC,8,1.000,0.800,0.889,5,45
Kidney-RCC,9,1.000,1.000,1.0,14,144
Liver-HCC,10,0.968,0.968,0.968,31,326
Lung-AdenoCA,11,1.000,1.000,1.0,4,38
Lung-SCC,12,1.000,1.000,1.0,5,48
Lymph-BNHL,13,0.917,1.000,0.957,11,105
Lymph-CLL,14,1.000,0.889,0.941,9,95
Myeloid-MPN,15,0.833,1.000,0.909,5,55
Ovary-AdenoCA,16,0.909,0.909,0.909,11,113
Panc-AdenoCA,17,1.000,0.957,0.978,23,241
Panc-Endocrine,18,0.833,0.556,0.667,9,85
Prost-AdenoCA,19,0.900,0.947,0.923,19,286
Skin-Melanoma,20,1.000,1.000,1.0,11,107
Stomach-AdenoCA,21,0.625,0.714,0.667,7,75
Thy-AdenoCA,22,0.750,0.600,0.667,5,48
Uterus-AdenoCA,23,0.750,0.750,0.75,4,51
