Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.949,0.967,0.958,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.257,0.500,0.339,58,58
CNS-PiloAstro,4,0.941,0.327,0.485,49,49
ColoRect-AdenoCA,5,0.500,0.167,0.25,6,6
Eso-AdenoCA,6,0.947,0.667,0.783,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.935,0.744,0.829,39,39
Liver-HCC,10,0.857,0.308,0.453,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,1.000,1.000,1.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,0.960,0.565,0.711,85,85
Myeloid-MPN,15,0.000,0.000,0.0,7,7
Ovary-AdenoCA,16,0.955,0.955,0.955,22,22
Panc-AdenoCA,17,0.964,0.871,0.915,93,93
Panc-Endocrine,18,0.275,0.778,0.406,18,18
Prost-AdenoCA,19,0.775,0.704,0.738,142,142
Skin-Melanoma,20,1.000,0.777,0.874,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
