Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.952,0.942,0.947,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.286,0.345,0.312,58,58
CNS-PiloAstro,4,0.933,0.286,0.437,49,49
ColoRect-AdenoCA,5,0.500,0.167,0.25,6,6
Eso-AdenoCA,6,0.952,0.741,0.833,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.692,0.692,0.692,39,39
Liver-HCC,10,0.786,0.282,0.415,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,1.000,1.000,1.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,0.977,0.494,0.656,85,85
Myeloid-MPN,15,1.000,0.286,0.444,7,7
Ovary-AdenoCA,16,0.875,0.955,0.913,22,22
Panc-AdenoCA,17,0.952,0.860,0.904,93,93
Panc-Endocrine,18,0.181,0.833,0.297,18,18
Prost-AdenoCA,19,0.819,0.732,0.773,142,142
Skin-Melanoma,20,0.987,0.827,0.9,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
