Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.938,0.967,0.952,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.275,0.328,0.299,58,58
CNS-PiloAstro,4,0.319,0.755,0.448,49,49
ColoRect-AdenoCA,5,1.000,0.167,0.286,6,6
Eso-AdenoCA,6,0.857,0.667,0.75,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.805,0.846,0.825,39,39
Liver-HCC,10,0.917,0.282,0.431,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,1.000,1.000,1.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,1.000,0.729,0.844,85,85
Myeloid-MPN,15,0.000,0.000,0.0,7,7
Ovary-AdenoCA,16,1.000,1.000,1.0,22,22
Panc-AdenoCA,17,0.804,0.882,0.841,93,93
Panc-Endocrine,18,0.414,0.667,0.511,18,18
Prost-AdenoCA,19,0.895,0.662,0.761,142,142
Skin-Melanoma,20,1.000,0.765,0.867,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
