Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,2,462,0,4,0,0,0,0,1,2,1,2,0,0,0,3,0,2,1,4,0,0,0,1
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,0,4,0,32,3,0,0,0,1,0,0,0,0,0,0,1,0,0,9,6,0,0,2,0
CNS-PiloAstro,1,1,4,8,21,0,0,0,1,0,0,1,0,0,0,0,0,0,9,2,0,0,1,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,1,0,5,0,0,0,0,2,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Liver-HCC,0,3,0,5,2,0,0,0,4,0,18,0,0,0,0,2,0,0,1,0,0,0,4,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,1,0,0,0,0,2,0,1,1,0,33,47,0,0,0,0,0,0,0,0,0
Myeloid-MPN,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Ovary-AdenoCA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,1
Panc-AdenoCA,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,81,7,0,0,0,0,0
Panc-Endocrine,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0
Prost-AdenoCA,0,6,0,21,1,0,0,0,2,0,1,1,0,0,0,0,0,1,2,101,0,0,6,0
Skin-Melanoma,0,11,0,21,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,140,0,0,0
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
