Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,0,469,0,3,1,0,0,2,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,0
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,0,1,0,19,31,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0
CNS-PiloAstro,0,3,4,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,0,0,4,1,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Liver-HCC,1,3,0,0,11,0,0,0,3,1,11,0,0,0,0,0,0,8,1,0,0,0,0,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,0,6,0,0,0,0,0,0,0,0,14,62,0,0,0,0,3,0,0,0,0
Myeloid-MPN,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ovary-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
Panc-AdenoCA,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,82,4,0,0,0,0,0
Panc-Endocrine,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0
Prost-AdenoCA,0,6,0,23,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,94,0,0,1,0
Skin-Melanoma,3,17,0,10,0,0,0,0,1,5,0,0,0,0,0,0,0,3,2,1,137,0,0,0
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
