,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Prost-AdenoCA,1.3872113e-05,2.7253116e-05,1.3156481e-05,0.00026850856,3.21194e-05,3.8627086e-06,1.1874322e-07,1.07514925e-05,0.0014224763,4.442301e-06,2.3635084e-06,1.8895948e-05,5.263586e-07,3.4083732e-06,0.00012273503,2.088061e-05,5.640822e-06,2.586753e-05,1.781602e-05,0.99785644,5.969327e-06,3.188583e-05,2.3926155e-05,6.714666e-05
Lymph-BNHL,1.2750743e-11,2.669114e-16,3.409441e-10,1.5244503e-14,3.5387565e-15,9.586644e-11,1.1470405e-14,6.467746e-11,5.6729556e-12,6.564666e-10,4.9021583e-13,3.7132337e-12,2.9332063e-15,0.99877673,0.0012232979,5.1265914e-13,9.679199e-13,1.3036582e-17,2.1713402e-09,5.902187e-14,1.292861e-11,5.2421775e-11,1.966366e-13,4.626203e-12
Kidney-RCC,4.3043095e-13,3.9565726e-14,1.8588987e-14,2.3589236e-12,1.111758e-21,1.3866642e-14,1.569993e-18,1.4221748e-13,1.213507e-10,1.0,5.4540986e-11,2.2102261e-11,1.7405059e-16,5.1897844e-19,1.10549694e-17,3.4970502e-13,1.5200601e-13,2.8516258e-12,8.827938e-11,5.758208e-10,7.266667e-18,2.0090402e-14,8.961631e-13,2.0842735e-12
Panc-AdenoCA,3.6949853e-37,1.8949967e-38,0.0,0.0,0.0,1.2390551e-35,5.98361e-23,0.0,2.352572e-33,1.7392347e-35,0.0,8.041049e-24,5.1985516e-38,0.0,0.0,2.4980165e-37,1.0537165e-28,1.0,0.0,0.0,0.0,7.952229e-22,0.0,5.258517e-34
Ovary-AdenoCA,8.022775e-07,3.9089903e-12,5.3616798e-08,1.5105122e-08,4.3625763e-11,1.5596109e-09,5.488239e-09,2.3501894e-08,3.6273511e-06,4.057003e-05,1.2142772e-06,5.417034e-08,9.414098e-08,3.224882e-08,1.0529257e-08,9.6063864e-08,0.9962763,6.5199446e-09,1.7529567e-08,1.4500745e-07,2.3416307e-11,1.7708949e-07,2.909064e-07,0.0036764622
Uterus-AdenoCA,0.00013406076,0.0054055885,0.00024750913,0.00043962026,2.6783806e-07,0.004835452,0.00019977088,0.017347874,0.001320784,3.573724e-05,3.7961312e-05,0.0033677022,0.0009947567,0.001341399,8.245203e-05,0.0033548304,0.0060039503,0.0021835377,0.0013480537,0.00019872579,0.0010603182,0.014428244,0.00029323783,0.9353382
Lung-AdenoCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9893065,0.010693435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC,5.9830174e-10,1.8112885e-09,1.1250751e-09,7.7008056e-13,2.4756854e-13,2.513693e-10,1.327403e-13,1.2576268e-11,3.4449414e-12,4.9467747e-10,0.9999993,3.0247044e-10,2.2882813e-13,6.311288e-11,6.829072e-09,1.9166373e-09,3.3307654e-12,3.9011643e-13,6.912755e-07,1.9805485e-11,1.482166e-11,9.8464285e-11,3.9868244e-11,6.838029e-12
Panc-Endocrine,4.9192553e-05,7.533953e-07,0.00027097712,0.0018312231,1.0984572e-07,0.00020832248,3.5728544e-06,4.25709e-05,0.0010968872,0.026544025,0.0005948883,0.000108981396,2.4773834e-07,3.7452442e-06,4.3419146e-05,8.7669534e-05,4.827714e-06,0.0001340902,0.96823823,4.1857813e-05,5.9882404e-06,0.00021067784,0.00046981557,7.808678e-06
Eso-AdenoCA,0.020237857,0.0021308942,0.000369218,0.005519865,0.5695772,8.284272e-05,2.120538e-05,0.00025692154,0.007390895,2.7963726e-05,9.305361e-05,0.003284316,1.3698732e-05,1.2616337e-05,0.00038590052,0.028091734,8.4428e-05,0.003948374,0.00040962297,0.30225176,0.00023276819,0.05470562,8.967802e-05,0.0007814918
Panc-AdenoCA,9.544957e-08,2.5768212e-09,1.2058997e-05,9.4375924e-11,3.2458972e-16,0.13835615,0.025398798,3.1827116e-05,1.7572445e-07,6.215466e-08,8.840313e-08,0.025565874,5.566059e-08,0.0009780881,9.667823e-09,2.5624483e-11,3.9869177e-10,7.5886837e-06,1.785709e-05,1.9935635e-07,2.6491364e-06,0.8096218,1.2172784e-09,6.6929356e-06
ColoRect-AdenoCA,1.6672948e-11,1.8569565e-15,9.637381e-09,5.420807e-12,1.385673e-18,0.99915385,6.499992e-09,3.7337763e-06,5.466638e-08,2.0029358e-09,5.298861e-12,2.2656424e-07,7.999301e-14,5.545058e-06,1.1050908e-09,5.232305e-12,1.2413593e-13,9.0918164e-08,4.740038e-07,4.0933834e-09,5.229237e-10,0.0008357662,1.1334706e-12,7.4277885e-08
Panc-AdenoCA,1.9882638e-09,8.075177e-13,3.1506235e-09,4.903397e-12,2.4454773e-15,7.5056903e-07,0.080084,2.578758e-07,1.3307916e-10,3.595938e-08,5.143855e-08,8.803894e-07,3.9148854e-06,5.080394e-10,1.0308806e-08,1.2670098e-10,2.1994278e-08,0.9081091,6.696789e-10,1.8743855e-09,1.0362481e-09,0.011799611,2.979118e-09,1.3248009e-06
Eso-AdenoCA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8332737e-35,0.0,0.0
Liver-HCC,9.518385e-08,1.2543119e-08,1.7974216e-08,3.029503e-11,3.3640996e-10,2.8014504e-09,8.555282e-12,2.1907154e-10,2.981496e-10,2.2610775e-08,0.9999982,4.8833734e-08,1.5869044e-10,3.9191303e-11,1.299842e-07,1.2820553e-06,2.7583023e-09,1.4750808e-10,1.6474016e-07,2.3737088e-09,2.6434852e-10,1.4304262e-09,2.6643836e-08,4.9978324e-09
CNS-Medullo,3.7746446e-05,0.0013941715,0.00015880486,0.9908173,0.0005224584,1.7979535e-05,7.2293045e-07,0.00019995768,0.0016035297,5.4870237e-05,6.5604254e-06,6.7863824e-05,4.525901e-06,2.5135374e-05,6.0414823e-06,0.00012689046,4.5559013e-05,9.649318e-06,0.00078680523,0.0023200244,1.5233559e-05,3.6378417e-05,0.00024506735,0.0014967122
Kidney-ChRCC,2.0385667e-05,0.0006779839,3.296419e-05,0.0009067463,1.3643897e-05,3.0615298e-05,4.093034e-07,0.0011481827,0.9885832,8.478663e-06,3.312643e-07,4.0799474e-05,3.7866023e-06,4.5946734e-05,7.493574e-05,0.00015088488,3.9143375e-05,0.0002161215,0.00093146815,0.0047858492,8.6703185e-05,0.0014035901,0.00030765636,0.00049013377
Kidney-RCC,8.579444e-08,1.8005061e-10,1.03541495e-08,1.7745059e-07,3.906877e-12,3.6444593e-08,2.873592e-10,3.7407571e-10,4.1725497e-07,0.99999726,4.1305307e-07,3.825917e-07,1.4410768e-10,1.0878814e-10,1.0564592e-08,1.7550594e-08,7.514834e-08,5.2785392e-08,1.6180714e-07,9.4313384e-07,7.5793115e-11,8.3977545e-09,7.942225e-09,4.6706788e-08
Uterus-AdenoCA,1.9057568e-06,0.00013618337,2.2924422e-09,1.9760903e-07,6.827207e-15,1.832527e-11,5.9760916e-09,2.379251e-10,1.12987266e-07,7.5473725e-09,4.843301e-08,1.0152309e-07,4.2172132e-06,1.5558695e-10,1.7708387e-11,3.833702e-06,0.98722494,6.1646666e-08,2.0642607e-10,5.7445176e-10,1.440815e-09,1.114491e-07,1.6460525e-09,0.012628352
Prost-AdenoCA,1.9018524e-05,6.630803e-05,2.5098252e-05,0.0006181782,2.809799e-05,2.5510433e-06,2.6943484e-08,4.34834e-06,2.601863e-05,1.44529195e-05,1.8083645e-05,0.000541614,3.8990552e-07,1.11122645e-07,3.6704064e-06,7.354443e-05,6.5878e-06,5.9438958e-06,6.4511764e-06,0.998423,1.2143453e-06,1.56362e-05,8.850865e-06,9.0862195e-05
Head-SCC,4.663291e-17,1.2263606e-17,2.7120928e-19,7.981023e-26,6.202737e-35,5.173801e-16,2.5043024e-16,1.0,1.577149e-17,3.3209994e-19,8.903182e-23,1.912075e-16,6.2680576e-11,1.6727559e-16,1.8767733e-24,5.721658e-23,5.4981984e-18,8.068874e-20,1.06251653e-19,1.6163971e-19,3.0164027e-15,1.0325172e-11,1.9694622e-16,1.9191276e-15
CNS-PiloAstro,0.0006012232,0.00047239114,0.0010373346,0.016922964,0.96375144,4.7139696e-05,9.654803e-06,0.00016049528,0.0006069843,1.6899876e-05,0.0005553326,0.00029585382,1.1475841e-05,1.7602591e-05,0.0016299529,0.0039098896,3.300105e-05,4.7263806e-05,0.0034604804,0.0007007502,9.1948285e-05,0.000104456405,0.0053355945,0.0001798942
Panc-AdenoCA,2.2938295e-06,4.371473e-08,5.511607e-06,1.0054791e-06,1.20163e-10,0.0002190692,0.00037643025,1.2902201e-06,5.391798e-06,5.514223e-07,6.6789866e-08,8.9576155e-05,2.6905693e-07,1.3371567e-07,1.3188073e-07,8.122724e-07,1.8282134e-07,0.9978611,0.00010387161,2.630907e-06,8.5180153e-07,0.0013276953,4.0521175e-07,7.1613294e-07
