Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,1.000,0.750,0.857,4,44
Breast-AdenoCA,1,1.000,1.000,1.0,20,198
CNS-GBM,2,1.000,0.750,0.857,4,41
CNS-Medullo,3,0.882,1.000,0.938,15,146
CNS-PiloAstro,4,0.800,0.889,0.842,9,89
ColoRect-AdenoCA,5,1.000,1.000,1.0,5,60
Eso-AdenoCA,6,0.714,1.000,0.833,10,98
Head-SCC,7,1.000,0.833,0.909,6,57
Kidney-ChRCC,8,0.600,0.750,0.667,4,45
Kidney-RCC,9,0.875,1.000,0.933,14,144
Liver-HCC,10,1.000,0.935,0.967,31,326
Lung-AdenoCA,11,1.000,0.750,0.857,4,38
Lung-SCC,12,1.000,0.800,0.889,5,48
Lymph-BNHL,13,0.833,1.000,0.909,10,105
Lymph-CLL,14,0.889,0.800,0.842,10,95
Myeloid-MPN,15,1.000,1.000,1.0,5,55
Ovary-AdenoCA,16,0.786,1.000,0.88,11,113
Panc-AdenoCA,17,0.917,0.917,0.917,24,241
Panc-Endocrine,18,1.000,1.000,1.0,8,85
Prost-AdenoCA,19,1.000,0.947,0.973,19,286
Skin-Melanoma,20,1.000,1.000,1.0,11,107
Stomach-AdenoCA,21,1.000,0.429,0.6,7,75
Thy-AdenoCA,22,0.667,0.800,0.727,5,48
Uterus-AdenoCA,23,1.000,0.250,0.4,4,51
