Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,1,469,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,0,0,0,29,1,0,0,0,3,1,1,0,0,0,0,0,0,0,11,10,0,0,2,0
CNS-PiloAstro,0,2,4,9,16,0,0,0,1,0,0,1,0,0,0,0,0,0,10,6,0,0,0,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,1,0,5,0,0,0,0,1,29,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Liver-HCC,0,6,0,7,0,0,0,0,5,0,12,1,0,0,0,0,0,1,3,1,0,0,3,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,0,0,0,0,1,0,0,0,0,0,33,48,0,0,0,2,0,0,0,1,0
Myeloid-MPN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0
Ovary-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0
Panc-AdenoCA,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,81,6,2,0,0,0,0
Panc-Endocrine,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0
Prost-AdenoCA,0,8,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,100,0,0,4,0
Skin-Melanoma,0,6,0,28,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,139,0,0,0
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
