Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.800,1.000,0.889,4,44
Breast-AdenoCA,1,0.909,1.000,0.952,20,198
CNS-GBM,2,1.000,0.500,0.667,4,41
CNS-Medullo,3,0.722,0.867,0.788,15,146
CNS-PiloAstro,4,0.875,0.778,0.824,9,89
ColoRect-AdenoCA,5,1.000,1.000,1.0,5,60
Eso-AdenoCA,6,0.875,0.700,0.778,10,98
Head-SCC,7,1.000,1.000,1.0,6,57
Kidney-ChRCC,8,1.000,0.800,0.889,5,45
Kidney-RCC,9,1.000,1.000,1.0,14,144
Liver-HCC,10,1.000,1.000,1.0,31,326
Lung-AdenoCA,11,0.750,0.750,0.75,4,38
Lung-SCC,12,1.000,0.800,0.889,5,48
Lymph-BNHL,13,1.000,1.000,1.0,11,105
Lymph-CLL,14,1.000,1.000,1.0,9,95
Myeloid-MPN,15,1.000,0.800,0.889,5,55
Ovary-AdenoCA,16,1.000,0.909,0.952,11,113
Panc-AdenoCA,17,0.955,0.913,0.933,23,241
Panc-Endocrine,18,0.818,1.000,0.9,9,85
Prost-AdenoCA,19,0.944,0.895,0.919,19,286
Skin-Melanoma,20,0.917,1.000,0.957,11,107
Stomach-AdenoCA,21,0.625,0.714,0.667,7,75
Thy-AdenoCA,22,0.833,1.000,0.909,5,48
Uterus-AdenoCA,23,1.000,1.000,1.0,4,51
