Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,0,465,0,3,0,0,0,0,0,3,1,0,0,0,0,0,1,0,4,6,0,0,2,0
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,0,3,0,32,4,0,0,0,3,0,0,0,0,0,0,0,0,0,5,8,0,0,3,0
CNS-PiloAstro,1,1,5,11,18,0,0,0,1,1,0,1,0,0,1,0,0,0,7,2,0,0,0,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,0,0,4,0,0,0,0,1,31,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Liver-HCC,0,4,0,8,0,0,0,0,5,0,15,0,0,0,0,0,0,0,6,0,0,0,1,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,2,0,0,0,0,1,0,0,0,0,36,42,0,0,0,2,2,0,0,0,0
Myeloid-MPN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0
Ovary-AdenoCA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1
Panc-AdenoCA,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,79,5,1,0,1,0,0
Panc-Endocrine,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0
Prost-AdenoCA,0,0,0,27,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,107,0,0,2,0
Skin-Melanoma,2,7,1,16,0,0,0,0,3,0,0,3,0,0,0,2,0,0,1,0,143,0,0,1
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
