Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.962,0.934,0.948,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.290,0.466,0.358,58,58
CNS-PiloAstro,4,0.361,0.714,0.479,49,49
ColoRect-AdenoCA,5,0.333,0.167,0.222,6,6
Eso-AdenoCA,6,0.850,0.630,0.723,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.903,0.718,0.8,39,39
Liver-HCC,10,0.722,0.333,0.456,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,0.000,0.000,0.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,1.000,0.412,0.583,85,85
Myeloid-MPN,15,0.000,0.000,0.0,7,7
Ovary-AdenoCA,16,1.000,0.864,0.927,22,22
Panc-AdenoCA,17,0.782,0.849,0.814,93,93
Panc-Endocrine,18,0.556,0.556,0.556,18,18
Prost-AdenoCA,19,0.833,0.704,0.763,142,142
Skin-Melanoma,20,1.000,0.821,0.902,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
