,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Breast-AdenoCA,4.0318346e-24,1.0,1.231675e-28,1.2320178e-21,1.3914469e-32,5.1089903e-20,7.013973e-27,6.0583926e-16,2.5798375e-24,4.804497e-17,2.3308235e-23,2.8987525e-17,2.7211874e-22,5.8913507e-26,1.8576028e-35,4.1043006e-33,5.521863e-19,1.8315317e-14,4.156438e-25,6.9219e-19,1.6369487e-19,5.6351825e-17,3.0484078e-24,1.6447863e-18
Liver-HCC,1.3024964e-14,5.1705873e-15,4.263502e-14,1.1143632e-13,3.8676965e-19,9.867892e-10,3.1738518e-14,3.060699e-14,9.218271e-15,3.8698038e-13,1.0,2.470372e-16,1.30143155e-17,2.4898441e-11,2.2707266e-13,5.516608e-16,6.0636437e-15,2.470872e-12,7.0612987e-13,4.0055487e-14,1.4844649e-14,9.302124e-13,8.796262e-17,2.1098742e-14
Lung-AdenoCA,5.4954867e-09,4.977873e-05,1.3576972e-11,4.745708e-09,2.585808e-13,4.7726774e-09,1.2266065e-09,3.9858583e-09,2.6725379e-11,5.0936674e-08,9.816212e-10,0.99993134,1.2637825e-05,1.294066e-12,7.424467e-13,7.8694587e-13,2.1994133e-08,6.184022e-06,9.883527e-10,8.2781455e-11,2.450281e-10,8.299781e-09,1.9839906e-11,7.2582294e-11
Lymph-BNHL,1.3140086e-38,0.0,0.0,0.0,0.0,1.094757e-26,4.217428e-35,1.1113419e-37,0.0,0.0,6.2876697e-34,0.0,0.0,1.0,2.69691e-24,0.0,0.0,0.0,0.0,0.0,0.0,3.1148884e-28,0.0,0.0
Liver-HCC,2.6976056e-12,4.687794e-11,1.935882e-14,6.305647e-12,1.714401e-20,3.686905e-10,7.229463e-15,3.361958e-13,3.3390555e-16,5.5572647e-13,1.0,6.909387e-14,4.4277402e-13,9.7460054e-11,2.9289253e-13,2.0143438e-17,1.351305e-12,8.466665e-12,4.917253e-16,4.1011382e-11,8.252924e-14,2.150656e-13,3.0330364e-18,2.0145372e-12
ColoRect-AdenoCA,1.37908685e-17,1.9253432e-14,2.2088412e-17,1.5331629e-17,8.980681e-23,1.0,1.405525e-10,1.975513e-15,6.0911674e-21,3.8695618e-16,5.9168145e-14,1.1618715e-15,2.9665081e-18,2.1121242e-11,3.0756495e-15,3.3946063e-21,1.3463666e-14,1.8145253e-10,4.3714725e-18,4.3708e-13,6.710738e-16,4.0044913e-08,9.440007e-23,1.9001459e-13
Panc-AdenoCA,7.5422504e-05,4.3543323e-06,3.8008748e-05,1.9838528e-05,4.8262277e-06,0.0003858354,0.0002750143,0.00032137285,1.1894885e-05,8.375652e-06,7.1346612e-06,9.683093e-05,4.037028e-06,5.334434e-06,2.830292e-05,4.0916737e-05,2.9776986e-05,0.998066,2.84896e-06,4.347252e-05,4.195203e-06,0.00050466676,4.5309166e-06,1.7039154e-05
Lymph-CLL,0.00022394555,0.00012963619,0.00011847152,6.6653233e-06,2.415637e-06,4.502491e-05,4.998697e-05,8.586195e-05,9.490045e-06,0.0013718818,0.0003538661,0.00012585516,2.0354391e-06,0.174902,0.8173153,2.4732015e-05,1.0704843e-05,9.0439215e-05,5.8037796e-05,0.0013897155,1.3772413e-05,0.0036565377,4.15131e-06,9.3689605e-06
Eso-AdenoCA,3.705374e-07,0.0010283978,1.876667e-08,6.4584117e-07,1.1197041e-10,0.0009358126,0.0033626372,8.300681e-06,1.928826e-08,1.328157e-06,2.8294403e-06,5.263529e-06,1.5071558e-05,9.047463e-07,1.32743265e-08,1.0955874e-09,7.540624e-05,0.022450583,1.7835826e-07,3.5920996e-06,1.5818878e-06,0.97209734,6.2562755e-09,9.70175e-06
Breast-AdenoCA,0.0,1.0,0.0,1.93869e-33,0.0,4.0581855e-26,0.0,1.3183916e-16,0.0,6.8199556e-23,2.9206422e-31,7.6402375e-29,0.0,0.0,0.0,0.0,1.8648689e-32,4.3739057e-19,0.0,1.2414425e-38,4.6950917e-35,6.0294665e-28,0.0,8.3715754e-33
Prost-AdenoCA,3.5504095e-07,3.9929822e-07,2.612691e-06,2.113552e-07,5.17175e-07,7.3679377e-07,1.6960095e-07,9.797886e-08,6.661692e-07,1.0646303e-05,1.7641965e-07,4.3292992e-08,1.2470189e-08,3.8042265e-07,1.660209e-07,2.5992883e-08,3.7509813e-07,3.5312056e-07,2.5234426e-08,0.99998045,4.730481e-08,1.2855513e-06,6.99664e-08,1.0746044e-07
Prost-AdenoCA,1.0480423e-05,8.232531e-05,8.688307e-05,0.0010565065,9.246387e-05,8.604102e-05,4.0919012e-06,1.6934518e-05,3.5680143e-05,7.144397e-06,2.4478172e-06,1.8700432e-05,8.991462e-06,6.563956e-06,2.467326e-06,3.8584472e-05,2.3390437e-05,0.0008899087,2.9148387e-06,0.9974293,1.0463895e-05,5.3853422e-05,9.893363e-06,2.3851773e-05
Lymph-CLL,0.015424555,0.005545215,0.0052164956,0.0045435214,0.0039173095,0.002956365,0.0019754553,0.0041145785,0.01206885,0.0022443037,0.028387457,0.0076343375,0.00037761076,0.025483184,0.7359779,0.016671358,0.0030407826,0.023225553,0.05987525,0.010971571,0.0032652933,0.008263942,0.018309485,0.0005096467
CNS-Medullo,0.028906854,0.00139089,0.002178737,0.8025747,0.0900194,0.00041890953,0.00022871465,0.0004551407,0.0019038119,0.005926187,0.019563362,0.000544198,7.720603e-05,0.00064626563,0.0030772446,0.00013182516,0.012248083,0.0015709865,0.012874086,0.0030557532,8.886352e-05,0.009712631,0.0012543129,0.0011518173
CNS-Medullo,9.189133e-05,6.2927465e-05,0.00011226885,0.9981743,0.00011967094,0.00010319528,3.3062426e-07,1.9049787e-06,4.409909e-06,0.0003185199,0.00013654318,7.1724544e-06,6.0025997e-07,6.2154045e-06,3.9773033e-05,1.3107381e-06,6.780303e-05,6.1225255e-05,0.00022746641,0.0002984668,5.1972947e-05,7.4984246e-06,5.236459e-05,5.2279567e-05
Thy-AdenoCA,0.021516088,0.008768902,0.0019081929,0.0072321026,0.0017140626,0.011458721,0.00069025985,0.007839236,0.03194718,0.08108416,0.032052774,0.0027400372,0.00037313846,0.0004575262,0.037990514,0.0058463193,0.01746743,0.033206217,0.117566526,0.021664636,0.006127521,0.0061710817,0.5378265,0.0063508595
Liver-HCC,3.1488746e-15,7.226639e-18,1.0803426e-15,6.162631e-16,1.1120452e-23,3.37483e-11,9.263631e-17,3.2084443e-16,4.1993902e-17,1.0969154e-16,1.0,5.446612e-19,1.122415e-22,5.209685e-13,1.1307956e-14,3.3367075e-19,1.1354487e-18,4.164055e-14,5.8967093e-16,2.630721e-16,3.0177493e-15,1.2983641e-14,4.1178305e-20,4.9484657e-18
Stomach-AdenoCA,2.0009721e-11,3.741344e-09,2.7309153e-13,9.248422e-13,6.836057e-16,6.6755405e-07,0.00047303797,2.6925435e-09,3.0048062e-15,3.6654536e-13,1.4330245e-09,1.0732355e-11,6.171878e-10,3.432165e-08,7.386552e-12,8.9779224e-14,7.155756e-12,5.8211026e-06,6.2747317e-13,3.1616865e-10,5.5717926e-12,0.9995204,1.7515191e-14,1.7901074e-09
Liver-HCC,3.960928e-11,2.951205e-09,1.7083318e-10,1.0834107e-08,6.4527767e-13,1.3694105e-08,6.4255185e-11,5.42126e-12,2.2103049e-12,5.9867433e-10,1.0,1.34689265e-11,1.1280185e-11,2.2358861e-08,3.6407453e-08,6.612444e-13,6.067674e-10,1.2045199e-11,6.347168e-12,1.7729966e-09,1.3394901e-09,5.2380127e-09,1.2368023e-13,5.782142e-11
Lymph-CLL,0.0018673006,0.0003362079,0.00027575486,0.0013056955,0.00118486,0.00023545838,0.00033030598,0.0006392425,0.00084697834,0.00013816694,0.0008320015,0.00026854698,1.4327935e-05,0.0055033155,0.9577978,0.0011338957,0.00022567109,0.005975909,0.0025498462,0.0010806818,0.000114750954,0.00069530116,0.016461428,0.00018639122
CNS-Medullo,0.00011970652,0.00012887847,5.9881324e-05,0.977969,0.019176543,9.846466e-06,5.322662e-06,6.236502e-05,0.00013773487,1.599144e-06,5.2918156e-05,0.00010168637,2.24439e-06,6.240431e-06,7.941566e-06,9.586262e-05,4.524634e-05,6.6942805e-05,0.00028917682,0.00089319964,1.7910716e-05,2.3820121e-05,0.0006331795,9.285495e-05
Liver-HCC,8.815803e-10,4.6202652e-07,2.2461994e-11,4.0125788e-11,1.817712e-16,1.044549e-05,8.4759366e-11,1.037044e-11,2.1096735e-12,2.3286608e-09,0.9999877,6.8007444e-10,2.3903063e-14,1.15967346e-07,3.2430245e-09,9.0259e-13,1.20244e-06,2.2157442e-08,1.2801332e-12,6.8507366e-10,6.203627e-10,5.713711e-09,3.1452139e-13,1.5051613e-08
Liver-HCC,9.403897e-13,5.3607496e-15,3.8761824e-15,6.420599e-13,2.2157433e-18,4.9313352e-11,1.09728485e-14,4.5410114e-14,9.872004e-16,1.4120288e-12,1.0,1.3480934e-14,3.9136819e-16,9.92901e-13,2.0189713e-13,7.543909e-15,3.548799e-15,1.547551e-12,1.2799645e-14,1.0484394e-14,1.4448366e-15,1.597351e-13,8.471752e-16,2.2418963e-14
Skin-Melanoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
