Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,1.000,0.500,0.667,4,44
Breast-AdenoCA,1,0.760,0.950,0.844,20,198
CNS-GBM,2,1.000,1.000,1.0,4,41
CNS-Medullo,3,0.833,1.000,0.909,15,146
CNS-PiloAstro,4,0.700,0.778,0.737,9,89
ColoRect-AdenoCA,5,1.000,1.000,1.0,5,60
Eso-AdenoCA,6,0.727,0.800,0.762,10,98
Head-SCC,7,1.000,0.667,0.8,6,57
Kidney-ChRCC,8,1.000,1.000,1.0,4,45
Kidney-RCC,9,0.875,1.000,0.933,14,144
Liver-HCC,10,1.000,1.000,1.0,31,326
Lung-AdenoCA,11,1.000,0.750,0.857,4,38
Lung-SCC,12,1.000,1.000,1.0,5,48
Lymph-BNHL,13,1.000,1.000,1.0,10,105
Lymph-CLL,14,1.000,1.000,1.0,10,95
Myeloid-MPN,15,1.000,1.000,1.0,5,55
Ovary-AdenoCA,16,1.000,0.909,0.952,11,113
Panc-AdenoCA,17,0.885,0.958,0.92,24,241
Panc-Endocrine,18,1.000,0.875,0.933,8,85
Prost-AdenoCA,19,0.850,0.895,0.872,19,286
Skin-Melanoma,20,1.000,1.000,1.0,11,107
Stomach-AdenoCA,21,1.000,0.286,0.444,7,75
Thy-AdenoCA,22,1.000,0.600,0.75,5,48
Uterus-AdenoCA,23,0.667,0.500,0.571,4,51
