Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.964,0.940,0.952,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.250,0.448,0.321,58,58
CNS-PiloAstro,4,0.400,0.653,0.496,49,49
ColoRect-AdenoCA,5,0.500,0.167,0.25,6,6
Eso-AdenoCA,6,0.941,0.593,0.727,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.964,0.692,0.806,39,39
Liver-HCC,10,0.778,0.359,0.491,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,1.000,1.000,1.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,1.000,0.635,0.777,85,85
Myeloid-MPN,15,0.000,0.000,0.0,7,7
Ovary-AdenoCA,16,0.955,0.955,0.955,22,22
Panc-AdenoCA,17,0.876,0.839,0.857,93,93
Panc-Endocrine,18,0.324,0.611,0.423,18,18
Prost-AdenoCA,19,0.904,0.725,0.805,142,142
Skin-Melanoma,20,1.000,0.771,0.871,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
