Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.961,0.959,0.96,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.291,0.552,0.381,58,58
CNS-PiloAstro,4,0.692,0.367,0.48,49,49
ColoRect-AdenoCA,5,0.500,0.167,0.25,6,6
Eso-AdenoCA,6,0.950,0.704,0.809,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.861,0.795,0.827,39,39
Liver-HCC,10,0.938,0.385,0.545,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,1.000,1.000,1.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,0.977,0.494,0.656,85,85
Myeloid-MPN,15,0.400,0.286,0.333,7,7
Ovary-AdenoCA,16,0.950,0.864,0.905,22,22
Panc-AdenoCA,17,0.988,0.849,0.913,93,93
Panc-Endocrine,18,0.306,0.833,0.448,18,18
Prost-AdenoCA,19,0.843,0.754,0.796,142,142
Skin-Melanoma,20,1.000,0.799,0.888,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
