Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,1.000,0.750,0.857,4,44
Breast-AdenoCA,1,1.000,1.000,1.0,20,198
CNS-GBM,2,1.000,1.000,1.0,4,41
CNS-Medullo,3,0.882,1.000,0.938,15,146
CNS-PiloAstro,4,0.636,0.778,0.7,9,89
ColoRect-AdenoCA,5,0.833,1.000,0.909,5,60
Eso-AdenoCA,6,0.900,0.900,0.9,10,98
Head-SCC,7,0.833,0.833,0.833,6,57
Kidney-ChRCC,8,1.000,1.000,1.0,4,45
Kidney-RCC,9,1.000,0.929,0.963,14,144
Liver-HCC,10,1.000,0.968,0.984,31,326
Lung-AdenoCA,11,1.000,1.000,1.0,4,38
Lung-SCC,12,1.000,1.000,1.0,5,48
Lymph-BNHL,13,0.909,1.000,0.952,10,105
Lymph-CLL,14,1.000,0.900,0.947,10,95
Myeloid-MPN,15,1.000,0.800,0.889,5,55
Ovary-AdenoCA,16,1.000,1.000,1.0,11,113
Panc-AdenoCA,17,0.920,0.958,0.939,24,241
Panc-Endocrine,18,0.833,0.625,0.714,8,85
Prost-AdenoCA,19,0.850,0.895,0.872,19,286
Skin-Melanoma,20,1.000,1.000,1.0,11,107
Stomach-AdenoCA,21,0.750,0.429,0.545,7,75
Thy-AdenoCA,22,0.571,0.800,0.667,5,48
Uterus-AdenoCA,23,1.000,1.000,1.0,4,51
