Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.800,1.000,0.889,4,44
Breast-AdenoCA,1,0.952,1.000,0.976,20,198
CNS-GBM,2,1.000,0.750,0.857,4,41
CNS-Medullo,3,0.867,0.867,0.867,15,146
CNS-PiloAstro,4,0.600,0.667,0.632,9,89
ColoRect-AdenoCA,5,1.000,1.000,1.0,5,60
Eso-AdenoCA,6,0.800,0.800,0.8,10,98
Head-SCC,7,1.000,1.000,1.0,6,57
Kidney-ChRCC,8,1.000,0.750,0.857,4,45
Kidney-RCC,9,1.000,1.000,1.0,14,144
Liver-HCC,10,0.969,1.000,0.984,31,326
Lung-AdenoCA,11,0.800,1.000,0.889,4,38
Lung-SCC,12,1.000,0.800,0.889,5,48
Lymph-BNHL,13,0.909,1.000,0.952,10,105
Lymph-CLL,14,1.000,0.900,0.947,10,95
Myeloid-MPN,15,1.000,0.800,0.889,5,55
Ovary-AdenoCA,16,0.909,0.909,0.909,11,113
Panc-AdenoCA,17,0.958,0.958,0.958,24,241
Panc-Endocrine,18,1.000,1.000,1.0,8,85
Prost-AdenoCA,19,1.000,0.947,0.973,19,286
Skin-Melanoma,20,1.000,0.909,0.952,11,107
Stomach-AdenoCA,21,0.833,0.714,0.769,7,75
Thy-AdenoCA,22,0.714,1.000,0.833,5,48
Uterus-AdenoCA,23,0.750,0.750,0.75,4,51
