Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.941,0.953,0.947,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.305,0.552,0.393,58,58
CNS-PiloAstro,4,0.724,0.429,0.538,49,49
ColoRect-AdenoCA,5,1.000,0.167,0.286,6,6
Eso-AdenoCA,6,0.909,0.741,0.816,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.938,0.769,0.845,39,39
Liver-HCC,10,0.857,0.462,0.6,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,0.000,0.000,0.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,1.000,0.553,0.712,85,85
Myeloid-MPN,15,0.077,0.143,0.1,7,7
Ovary-AdenoCA,16,1.000,0.864,0.927,22,22
Panc-AdenoCA,17,0.942,0.871,0.905,93,93
Panc-Endocrine,18,0.341,0.833,0.484,18,18
Prost-AdenoCA,19,0.886,0.711,0.789,142,142
Skin-Melanoma,20,1.000,0.782,0.878,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
