Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,0,456,0,9,0,0,0,1,4,1,2,0,0,0,0,0,0,0,1,5,0,1,5,0
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,0,0,0,26,20,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,4,0
CNS-PiloAstro,0,1,3,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,0,0,5,0,0,0,0,2,27,1,0,0,0,0,0,0,1,2,0,0,0,1,0
Liver-HCC,0,2,0,3,9,0,0,0,0,0,14,2,0,0,0,0,0,5,3,1,0,0,0,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,0,3,0,0,0,1,0,0,0,0,24,54,0,0,0,2,0,0,0,1,0
Myeloid-MPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
Ovary-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0
Panc-AdenoCA,0,2,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,78,4,1,0,2,0,0
Panc-Endocrine,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0
Prost-AdenoCA,0,3,0,23,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,103,0,0,3,0
Skin-Melanoma,0,9,1,25,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,138,0,0,0
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
