Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,1,457,0,1,0,0,0,2,0,6,2,0,0,0,0,0,3,1,5,2,2,0,0,3
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,0,1,0,20,0,0,0,1,4,2,0,0,0,0,0,0,0,0,18,12,0,0,0,0
CNS-PiloAstro,3,1,5,5,14,0,0,0,1,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,2,0,3,0,0,0,0,1,27,1,0,0,0,0,0,0,0,5,0,0,0,0,0
Liver-HCC,0,4,0,3,0,0,0,0,7,2,11,0,0,0,0,0,0,1,9,2,0,0,0,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,0,0,0,4,0,0,0,1,0
Myeloid-MPN,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0
Ovary-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0
Panc-AdenoCA,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,80,6,0,0,1,0,0
Panc-Endocrine,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0
Prost-AdenoCA,0,6,0,23,0,0,0,0,4,1,0,0,0,0,0,0,0,1,2,104,0,0,1,0
Skin-Melanoma,0,7,2,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,148,0,0,1
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
