Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.948,0.948,0.948,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.244,0.569,0.342,58,58
CNS-PiloAstro,4,0.550,0.449,0.494,49,49
ColoRect-AdenoCA,5,0.500,0.167,0.25,6,6
Eso-AdenoCA,6,0.941,0.593,0.727,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,1.000,0.667,0.8,39,39
Liver-HCC,10,0.824,0.359,0.5,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,1.000,1.000,1.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,0.971,0.776,0.863,85,85
Myeloid-MPN,15,0.000,0.000,0.0,7,7
Ovary-AdenoCA,16,0.909,0.909,0.909,22,22
Panc-AdenoCA,17,0.963,0.849,0.903,93,93
Panc-Endocrine,18,0.314,0.611,0.415,18,18
Prost-AdenoCA,19,0.853,0.655,0.741,142,142
Skin-Melanoma,20,1.000,0.765,0.867,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
