Cancer,,precision,recall,f1_score,support,sample_size
Bone-Osteosarc,0,0.000,0.000,0.0,0,0
Breast-AdenoCA,1,0.962,0.940,0.951,485,485
CNS-GBM,2,0.000,0.000,0.0,0,0
CNS-Medullo,3,0.374,0.690,0.485,58,58
CNS-PiloAstro,4,0.639,0.469,0.541,49,49
ColoRect-AdenoCA,5,0.500,0.167,0.25,6,6
Eso-AdenoCA,6,0.870,0.741,0.8,27,27
Head-SCC,7,0.000,0.000,0.0,0,0
Kidney-ChRCC,8,0.000,0.000,0.0,0,0
Kidney-RCC,9,0.886,0.795,0.838,39,39
Liver-HCC,10,0.875,0.359,0.509,39,39
Lung-AdenoCA,11,0.000,0.000,0.0,0,0
Lung-SCC,12,1.000,1.000,1.0,1,1
Lymph-BNHL,13,0.000,0.000,0.0,0,0
Lymph-CLL,14,1.000,0.576,0.731,85,85
Myeloid-MPN,15,0.250,0.143,0.182,7,7
Ovary-AdenoCA,16,0.955,0.955,0.955,22,22
Panc-AdenoCA,17,0.963,0.849,0.903,93,93
Panc-Endocrine,18,0.286,0.667,0.4,18,18
Prost-AdenoCA,19,0.900,0.697,0.786,142,142
Skin-Melanoma,20,1.000,0.804,0.892,179,179
Stomach-AdenoCA,21,0.000,0.000,0.0,0,0
Thy-AdenoCA,22,0.000,0.000,0.0,0,0
Uterus-AdenoCA,23,0.000,0.000,0.0,0,0
