Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,1,456,0,0,0,0,0,0,8,3,2,0,0,0,0,1,0,0,3,6,0,0,4,1
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,1,1,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0
CNS-PiloAstro,0,2,4,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,0,0,4,0,0,0,0,2,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Liver-HCC,0,2,0,5,1,0,0,0,5,0,14,0,0,0,0,1,0,2,5,0,0,0,4,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,0,1,0,0,0,0,0,0,0,0,34,49,0,0,0,0,0,0,0,1,0
Myeloid-MPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0
Ovary-AdenoCA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
Panc-AdenoCA,0,2,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,79,4,0,0,0,1,0
Panc-Endocrine,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0
Prost-AdenoCA,0,3,0,29,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,99,0,0,4,0
Skin-Melanoma,1,7,0,13,0,0,0,0,9,0,0,1,0,0,0,1,1,0,0,0,144,1,1,0
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
