Cancer,Bone-Osteosarc,Breast-AdenoCA,CNS-GBM,CNS-Medullo,CNS-PiloAstro,ColoRect-AdenoCA,Eso-AdenoCA,Head-SCC,Kidney-ChRCC,Kidney-RCC,Liver-HCC,Lung-AdenoCA,Lung-SCC,Lymph-BNHL,Lymph-CLL,Myeloid-MPN,Ovary-AdenoCA,Panc-AdenoCA,Panc-Endocrine,Prost-AdenoCA,Skin-Melanoma,Stomach-AdenoCA,Thy-AdenoCA,Uterus-AdenoCA
Bone-Osteosarc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,2,460,0,7,0,0,0,2,2,0,1,0,0,0,0,0,0,0,4,5,0,0,2,0
CNS-GBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-Medullo,0,2,0,33,6,0,0,0,1,0,0,0,0,0,1,0,0,0,3,6,0,0,6,0
CNS-PiloAstro,1,2,2,6,22,0,0,0,1,0,1,0,0,0,0,0,0,0,9,2,0,0,3,0
ColoRect-AdenoCA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eso-AdenoCA,0,0,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0
Head-SCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-ChRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney-RCC,0,1,0,6,0,0,0,0,2,26,1,0,0,0,0,0,2,0,1,0,0,0,0,0
Liver-HCC,0,2,0,13,1,0,0,0,6,0,14,0,0,0,0,0,0,0,2,1,0,0,0,0
Lung-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung-SCC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lymph-BNHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymph-CLL,0,0,0,0,2,0,0,0,0,0,0,0,0,15,66,0,0,0,1,1,0,0,0,0
Myeloid-MPN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
Ovary-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,1
Panc-AdenoCA,0,1,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,79,3,0,0,2,1,1
Panc-Endocrine,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0
Prost-AdenoCA,0,8,0,34,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,93,0,0,1,0
Skin-Melanoma,1,9,0,27,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,137,0,0,0
Stomach-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterus-AdenoCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
